id,hour,year,month,day,hourday,houryear,monthyear,lbmp,e,icap,drv,curve,weeday_flag,icap_a2_day_flag,icap_a2_hour_flag,icap_flag,drv_day_winter_flag,drv_hour_winter_flag,drv_day_summer_flag,drv_hour_summer_flag,drv_flag
1,1,1,1,1,1,1,1,0.035552512,0.03103,0,0,0.066582512,0,0,0,0,0,0,0,0,0
2,2,1,1,1,2,2,1,0.037449253,0.03103,0,0,0.068479253,0,0,0,0,0,0,0,0,0
3,3,1,1,1,3,3,1,0.031421967,0.03103,0,0,0.062451967,0,0,0,0,0,0,0,0,0
4,4,1,1,1,4,4,1,0.031473377,0.03103,0,0,0.062503377,0,0,0,0,0,0,0,0,0
5,5,1,1,1,5,5,1,0.032478878,0.03103,0,0,0.063508878,0,0,0,0,0,0,0,0,0
6,6,1,1,1,6,6,1,0.04034581,0.03103,0,0,0.07137581,0,0,0,0,0,0,0,0,0
7,7,1,1,1,7,7,1,0.045190484,0.03103,0,0,0.076220484,0,0,0,0,0,0,0,0,0
8,8,1,1,1,8,8,1,0.037329273,0.03103,0,0,0.068359273,0,0,0,0,0,0,0,0,0
9,9,1,1,1,9,9,1,0.040528607,0.03103,0,0,0.071558607,0,0,0,0,0,0,0,0,0
10,10,1,1,1,10,10,1,0.045099069,0.03103,0,0,0.076129069,0,0,0,0,0,0,0,0,0
11,11,1,1,1,11,11,1,0.043122352,0.03103,0,0,0.074152352,0,0,0,0,0,0,0,0,0
12,12,1,1,1,12,12,1,0.033301549,0.03103,0,0,0.064331549,0,0,0,0,0,0,0,0,0
13,13,1,1,1,13,13,1,0.03109059,0.03103,0,0,0.06212059,0,0,0,0,0,0,0,0,0
14,14,1,1,1,14,14,1,0.025491782,0.03103,0,0,0.056521782,0,0,1,0,0,0,0,1,0
15,15,1,1,1,15,15,1,0.025440371,0.03103,0,0,0.056470371,0,0,1,0,0,0,0,1,0
16,16,1,1,1,16,16,1,0.032027555,0.03103,0,0,0.063057555,0,0,1,0,0,0,0,1,0
