id,houryear,dayyear,monthyear,dckwh
1,1,1,1,0
2,2,1,1,0
3,3,1,1,0
4,4,1,1,0
5,5,1,1,0
6,6,1,1,0
7,7,1,1,0
8,8,1,1,0
9,9,1,1,1153.082375
10,10,1,1,2120.084
11,11,1,1,2762.61075
12,12,1,1,3049.764
13,13,1,1,2334.44825
14,14,1,1,2130.2375
15,15,1,1,2144.03725
16,16,1,1,1232.41075
17,17,1,1,0
18,18,1,1,0
19,19,1,1,0
20,20,1,1,0
21,21,1,1,0
22,22,1,1,0
23,23,1,1,0
24,24,1,1,0
25,25,2,1,0
26,26,2,1,0
27,27,2,1,0
28,28,2,1,0
29,29,2,1,0
30,30,2,1,0
31,31,2,1,0
32,32,2,1,0
33,33,2,1,18.651676
34,34,2,1,55.720102
35,35,2,1,1183.632625
36,36,2,1,460.800938
37,37,2,1,304.945625
38,38,2,1,985.457375
39,39,2,1,787.415625
40,40,2,1,411.559281
41,41,2,1,0
42,42,2,1,0
43,43,2,1,0
44,44,2,1,0
45,45,2,1,0
46,46,2,1,0
47,47,2,1,0
48,48,2,1,0
49,49,3,1,0
50,50,3,1,0
51,51,3,1,0
52,52,3,1,0
53,53,3,1,0
54,54,3,1,0
55,55,3,1,0
56,56,3,1,0
57,57,3,1,65.791523
58,58,3,1,228.324766
59,59,3,1,671.409688
60,60,3,1,414.196594
61,61,3,1,142.854641
62,62,3,1,78.796633
63,63,3,1,387.488063
64,64,3,1,124.524969
65,65,3,1,9.270668
66,66,3,1,0
67,67,3,1,0
68,68,3,1,0
69,69,3,1,0
70,70,3,1,0
71,71,3,1,0
72,72,3,1,0
73,73,4,1,0
74,74,4,1,0
75,75,4,1,0
76,76,4,1,0
77,77,4,1,0
78,78,4,1,0
79,79,4,1,0
80,80,4,1,0
81,81,4,1,77.863477
82,82,4,1,182.602141
83,83,4,1,392.71475
84,84,4,1,364.596969
85,85,4,1,459.509844
86,86,4,1,149.284125
87,87,4,1,364.881063
88,88,4,1,131.478906
89,89,4,1,9.11223
90,90,4,1,0
91,91,4,1,0
92,92,4,1,0
93,93,4,1,0
94,94,4,1,0
95,95,4,1,0
96,96,4,1,0
97,97,5,1,0
98,98,5,1,0
99,99,5,1,0
100,100,5,1,0
101,101,5,1,0
102,102,5,1,0
103,103,5,1,0
104,104,5,1,0
105,105,5,1,18.749033
106,106,5,1,238.434797
107,107,5,1,647.887125
108,108,5,1,719.769563
109,109,5,1,1150.3275
110,110,5,1,3041.5215
111,111,5,1,2385.65025
112,112,5,1,229.446188
113,113,5,1,298.632938
114,114,5,1,0
115,115,5,1,0
116,116,5,1,0
117,117,5,1,0
118,118,5,1,0
119,119,5,1,0
120,120,5,1,0
121,121,6,1,0
122,122,6,1,0
123,123,6,1,0
124,124,6,1,0
125,125,6,1,0
126,126,6,1,0
127,127,6,1,0
128,128,6,1,0
129,129,6,1,249.528547
130,130,6,1,1269.297875
131,131,6,1,1369.314
132,132,6,1,1413.349125
133,133,6,1,3032.4395
134,134,6,1,2059.217625
135,135,6,1,785.409813
136,136,6,1,210.182625
137,137,6,1,19.222031
138,138,6,1,0
139,139,6,1,0
140,140,6,1,0
141,141,6,1,0
142,142,6,1,0
143,143,6,1,0
144,144,6,1,0
145,145,7,1,0
146,146,7,1,0
147,147,7,1,0
148,148,7,1,0
149,149,7,1,0
150,150,7,1,0
151,151,7,1,0
152,152,7,1,0
153,153,7,1,1075.750875
154,154,7,1,1484.821375
155,155,7,1,1248.19425
156,156,7,1,1816.156625
157,157,7,1,2876.296
158,158,7,1,2609.35175
159,159,7,1,1973.033375
160,160,7,1,970.753625
161,161,7,1,100.503742
162,162,7,1,0
163,163,7,1,0
164,164,7,1,0
165,165,7,1,0
166,166,7,1,0
167,167,7,1,0
168,168,7,1,0
169,169,8,1,0
170,170,8,1,0
171,171,8,1,0
172,172,8,1,0
173,173,8,1,0
174,174,8,1,0
175,175,8,1,0
176,176,8,1,0
177,177,8,1,1183.155875
178,178,8,1,2206.9605
179,179,8,1,2899.44275
180,180,8,1,2169.5165
181,181,8,1,3262.04175
182,182,8,1,2918.10625
183,183,8,1,2285.54875
184,184,8,1,1362.171
185,185,8,1,103.752172
186,186,8,1,0
187,187,8,1,0
188,188,8,1,0
189,189,8,1,0
190,190,8,1,0
191,191,8,1,0
192,192,8,1,0
193,193,9,1,0
194,194,9,1,0
195,195,9,1,0
196,196,9,1,0
197,197,9,1,0
198,198,9,1,0
199,199,9,1,0
200,200,9,1,0
201,201,9,1,439.720188
202,202,9,1,1440.58975
203,203,9,1,674.914
204,204,9,1,1223.674
205,205,9,1,2477.27275
206,206,9,1,2136.264
207,207,9,1,106.860242
208,208,9,1,66.508844
209,209,9,1,122.561414
210,210,9,1,0
211,211,9,1,0
212,212,9,1,0
213,213,9,1,0
214,214,9,1,0
215,215,9,1,0
216,216,9,1,0
217,217,10,1,0
218,218,10,1,0
219,219,10,1,0
220,220,10,1,0
221,221,10,1,0
222,222,10,1,0
223,223,10,1,0
224,224,10,1,0
225,225,10,1,1219.398
226,226,10,1,2304.848
227,227,10,1,3017.65975
228,228,10,1,3289.637
229,229,10,1,3320.4665
230,230,10,1,3043.03075
231,231,10,1,2437.32375
232,232,10,1,1517.0105
233,233,10,1,411.471875
234,234,10,1,0
235,235,10,1,0
236,236,10,1,0
237,237,10,1,0
238,238,10,1,0
239,239,10,1,0
240,240,10,1,0
241,241,11,1,0
242,242,11,1,0
243,243,11,1,0
244,244,11,1,0
245,245,11,1,0
246,246,11,1,0
247,247,11,1,0
248,248,11,1,0
249,249,11,1,1100.062375
250,250,11,1,334.405188
251,251,11,1,494.131344
252,252,11,1,885.481188
253,253,11,1,1225.07375
254,254,11,1,858.88375
255,255,11,1,527.894938
256,256,11,1,213.928484
257,257,11,1,126.077375
258,258,11,1,0
259,259,11,1,0
260,260,11,1,0
261,261,11,1,0
262,262,11,1,0
263,263,11,1,0
264,264,11,1,0
265,265,12,1,0
266,266,12,1,0
267,267,12,1,0
268,268,12,1,0
269,269,12,1,0
270,270,12,1,0
271,271,12,1,0
272,272,12,1,0
273,273,12,1,135.008125
274,274,12,1,74.462477
275,275,12,1,513.096656
276,276,12,1,460.797813
277,277,12,1,820.836313
278,278,12,1,316.750313
279,279,12,1,451.327219
280,280,12,1,548.669938
281,281,12,1,64.515211
282,282,12,1,0
283,283,12,1,0
284,284,12,1,0
285,285,12,1,0
286,286,12,1,0
287,287,12,1,0
288,288,12,1,0
289,289,13,1,0
290,290,13,1,0
291,291,13,1,0
292,292,13,1,0
293,293,13,1,0
294,294,13,1,0
295,295,13,1,0
296,296,13,1,0
297,297,13,1,1375.880625
298,298,13,1,2470.82
299,299,13,1,3190.53125
300,300,13,1,3541.09125
301,301,13,1,3470.37525
302,302,13,1,3188.99925
303,303,13,1,2598.5115
304,304,13,1,1660.788625
305,305,13,1,534.349563
306,306,13,1,0
307,307,13,1,0
308,308,13,1,0
309,309,13,1,0
310,310,13,1,0
311,311,13,1,0
312,312,13,1,0
313,313,14,1,0
314,314,14,1,0
315,315,14,1,0
316,316,14,1,0
317,317,14,1,0
318,318,14,1,0
319,319,14,1,0
320,320,14,1,0
321,321,14,1,821.911063
322,322,14,1,1302.487875
323,323,14,1,1714.38175
324,324,14,1,1868.253
325,325,14,1,1416.9995
326,326,14,1,1509.689875
327,327,14,1,1497.3275
328,328,14,1,1401.3555
329,329,14,1,168.250844
330,330,14,1,0
331,331,14,1,0
332,332,14,1,0
333,333,14,1,0
334,334,14,1,0
335,335,14,1,0
336,336,14,1,0
337,337,15,1,0
338,338,15,1,0
339,339,15,1,0
340,340,15,1,0
341,341,15,1,0
342,342,15,1,0
343,343,15,1,0
344,344,15,1,0
345,345,15,1,1226.15325
346,346,15,1,2241.1645
347,347,15,1,2852.48825
348,348,15,1,3213.81375
349,349,15,1,3266.2235
350,350,15,1,2992.20325
351,351,15,1,2381.78675
352,352,15,1,1482.07475
353,353,15,1,412.956375
354,354,15,1,0
355,355,15,1,0
356,356,15,1,0
357,357,15,1,0
358,358,15,1,0
359,359,15,1,0
360,360,15,1,0
361,361,16,1,0
362,362,16,1,0
363,363,16,1,0
364,364,16,1,0
365,365,16,1,0
366,366,16,1,0
367,367,16,1,0
368,368,16,1,0
369,369,16,1,1169.206625
370,370,16,1,2157.95325
371,371,16,1,2184.8095
372,372,16,1,2496.1635
373,373,16,1,2461.702
374,374,16,1,2642.5555
375,375,16,1,1199.504125
376,376,16,1,1621.47725
377,377,16,1,478.432375
378,378,16,1,0
379,379,16,1,0
380,380,16,1,0
381,381,16,1,0
382,382,16,1,0
383,383,16,1,0
384,384,16,1,0
385,385,17,1,0
386,386,17,1,0
387,387,17,1,0
388,388,17,1,0
389,389,17,1,0
390,390,17,1,0
391,391,17,1,0
392,392,17,1,0
393,393,17,1,1298.770375
394,394,17,1,2304.27775
395,395,17,1,2947.193
396,396,17,1,3281.276
397,397,17,1,3285.241
398,398,17,1,2466.35725
399,399,17,1,1592.522375
400,400,17,1,1551.616875
401,401,17,1,464.453469
402,402,17,1,0
403,403,17,1,0
404,404,17,1,0
405,405,17,1,0
406,406,17,1,0
407,407,17,1,0
408,408,17,1,0
409,409,18,1,0
410,410,18,1,0
411,411,18,1,0
412,412,18,1,0
413,413,18,1,0
414,414,18,1,0
415,415,18,1,0
416,416,18,1,0
417,417,18,1,208.388672
418,418,18,1,375.396063
419,419,18,1,399.164156
420,420,18,1,618.7345
421,421,18,1,567.338688
422,422,18,1,985.066875
423,423,18,1,208.268063
424,424,18,1,202.095469
425,425,18,1,41.512496
426,426,18,1,0
427,427,18,1,0
428,428,18,1,0
429,429,18,1,0
430,430,18,1,0
431,431,18,1,0
432,432,18,1,0
433,433,19,1,0
434,434,19,1,0
435,435,19,1,0
436,436,19,1,0
437,437,19,1,0
438,438,19,1,0
439,439,19,1,0
440,440,19,1,0
441,441,19,1,101.373688
442,442,19,1,252.670422
443,443,19,1,636.911813
444,444,19,1,939.566125
445,445,19,1,1050.292875
446,446,19,1,955.632063
447,447,19,1,268.499469
448,448,19,1,96.618234
449,449,19,1,507.889438
450,450,19,1,0
451,451,19,1,0
452,452,19,1,0
453,453,19,1,0
454,454,19,1,0
455,455,19,1,0
456,456,19,1,0
457,457,20,1,0
458,458,20,1,0
459,459,20,1,0
460,460,20,1,0
461,461,20,1,0
462,462,20,1,0
463,463,20,1,0
464,464,20,1,0
465,465,20,1,379.256438
466,466,20,1,1253.053
467,467,20,1,1735.487625
468,468,20,1,3272.157
469,469,20,1,3290.323
470,470,20,1,1812.385625
471,471,20,1,1979.299875
472,472,20,1,1164.80725
473,473,20,1,368.725969
474,474,20,1,0
475,475,20,1,0
476,476,20,1,0
477,477,20,1,0
478,478,20,1,0
479,479,20,1,0
480,480,20,1,0
481,481,21,1,0
482,482,21,1,0
483,483,21,1,0
484,484,21,1,0
485,485,21,1,0
486,486,21,1,0
487,487,21,1,0
488,488,21,1,0
489,489,21,1,328.008688
490,490,21,1,597.32075
491,491,21,1,2104.7585
492,492,21,1,1970.417
493,493,21,1,2521.40325
494,494,21,1,1786.243375
495,495,21,1,1539.46425
496,496,21,1,1641.46
497,497,21,1,528.438063
498,498,21,1,0
499,499,21,1,0
500,500,21,1,0
501,501,21,1,0
502,502,21,1,0
503,503,21,1,0
504,504,21,1,0
505,505,22,1,0
506,506,22,1,0
507,507,22,1,0
508,508,22,1,0
509,509,22,1,0
510,510,22,1,0
511,511,22,1,0
512,512,22,1,0
513,513,22,1,226.689031
514,514,22,1,507.977656
515,515,22,1,743.918688
516,516,22,1,1243.620125
517,517,22,1,1125.5665
518,518,22,1,1049.62275
519,519,22,1,2469.06175
520,520,22,1,1614.705625
521,521,22,1,561.972813
522,522,22,1,0
523,523,22,1,0
524,524,22,1,0
525,525,22,1,0
526,526,22,1,0
527,527,22,1,0
528,528,22,1,0
529,529,23,1,0
530,530,23,1,0
531,531,23,1,0
532,532,23,1,0
533,533,23,1,0
534,534,23,1,0
535,535,23,1,0
536,536,23,1,0
537,537,23,1,1320.68
538,538,23,1,1615.603125
539,539,23,1,3007.5435
540,540,23,1,3340.822
541,541,23,1,3377.259
542,542,23,1,3133.0525
543,543,23,1,2568.60925
544,544,23,1,1695.749
545,545,23,1,590.785938
546,546,23,1,0
547,547,23,1,0
548,548,23,1,0
549,549,23,1,0
550,550,23,1,0
551,551,23,1,0
552,552,23,1,0
553,553,24,1,0
554,554,24,1,0
555,555,24,1,0
556,556,24,1,0
557,557,24,1,0
558,558,24,1,0
559,559,24,1,0
560,560,24,1,0
561,561,24,1,281.716938
562,562,24,1,769.777125
563,563,24,1,624.3875
564,564,24,1,1049.47125
565,565,24,1,821.33925
566,566,24,1,829.762813
567,567,24,1,732.488625
568,568,24,1,432.576094
569,569,24,1,117.681539
570,570,24,1,0
571,571,24,1,0
572,572,24,1,0
573,573,24,1,0
574,574,24,1,0
575,575,24,1,0
576,576,24,1,0
577,577,25,1,0
578,578,25,1,0
579,579,25,1,0
580,580,25,1,0
581,581,25,1,0
582,582,25,1,0
583,583,25,1,0
584,584,25,1,37.181414
585,585,25,1,1330.452125
586,586,25,1,2401.67025
587,587,25,1,3145.06775
588,588,25,1,3537.35725
589,589,25,1,3598.4935
590,590,25,1,3356.9935
591,591,25,1,2258.62775
592,592,25,1,1477.29175
593,593,25,1,522.053688
594,594,25,1,0
595,595,25,1,0
596,596,25,1,0
597,597,25,1,0
598,598,25,1,0
599,599,25,1,0
600,600,25,1,0
601,601,26,1,0
602,602,26,1,0
603,603,26,1,0
604,604,26,1,0
605,605,26,1,0
606,606,26,1,0
607,607,26,1,0
608,608,26,1,9.60149
609,609,26,1,139.179
610,610,26,1,772.597313
611,611,26,1,953.923625
612,612,26,1,2158.77825
613,613,26,1,2144.7865
614,614,26,1,759.733125
615,615,26,1,848.994938
616,616,26,1,281.5675
617,617,26,1,76.449078
618,618,26,1,0
619,619,26,1,0
620,620,26,1,0
621,621,26,1,0
622,622,26,1,0
623,623,26,1,0
624,624,26,1,0
625,625,27,1,0
626,626,27,1,0
627,627,27,1,0
628,628,27,1,0
629,629,27,1,0
630,630,27,1,0
631,631,27,1,0
632,632,27,1,33.628254
633,633,27,1,339.718438
634,634,27,1,791.965438
635,635,27,1,941.891938
636,636,27,1,749.734563
637,637,27,1,920.708688
638,638,27,1,939.423313
